time,total,car,bus,bike,truck,east_middle_road_1_queue,east_middle_road_2_queue,north_middle_road_1_queue,north_middle_road_2_queue,south_middle_road_1_queue,south_middle_road_2_queue,west_middle_road_1_queue,west_middle_road_2_queue,east_green,east_yellow,east_red,south_green,south_yellow,south_red,west_green,west_yellow,west_red,north_green,north_yellow,north_red
10,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
20,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
30,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
40,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
60,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
70,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
90,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
100,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
110,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
130,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
140,3,0,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
150,4,0,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
160,4,0,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
170,5,0,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
180,5,0,2,3,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
190,6,0,2,4,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
200,7,0,2,5,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
210,7,0,2,5,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
220,8,1,2,5,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
230,8,1,2,5,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
240,8,1,2,5,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
250,8,1,2,5,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.55,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
260,9,1,2,6,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.52,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
270,11,3,2,6,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,13.27,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
280,11,3,2,6,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,13.23,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
290,11,3,2,6,0,0.0,0.0,0.0,1.0,5.75,1.0,1.0,13.21,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
300,12,3,2,6,1,0.0,0.0,0.0,1.0,5.72,1.0,1.0,13.21,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
310,12,3,2,6,1,0.0,0.0,0.0,1.0,5.71,1.0,1.0,13.2,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
320,13,4,2,6,1,0.0,0.0,0.0,1.0,5.7,1.0,5.77,13.2,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
330,15,5,2,7,1,0.0,0.0,0.0,1.0,5.7,1.0,5.72,13.2,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
340,15,5,2,7,1,0.0,0.0,0.0,1.0,5.7,1.0,5.71,13.2,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
350,16,4,2,8,2,0.0,0.0,1.0,1.0,5.7,1.0,5.7,13.2,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
360,14,3,2,7,2,0.0,1.0,1.0,1.0,0.0,0.0,10.47,13.2,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
370,14,3,2,7,2,0.0,1.0,1.0,1.0,0.0,0.0,10.43,13.2,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
380,15,3,2,8,2,0.0,1.0,1.0,1.0,0.0,0.0,10.41,17.95,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
390,16,3,2,9,2,0.0,1.0,1.0,1.0,0.0,0.0,10.41,17.92,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
400,19,3,2,12,2,0.0,1.0,1.0,1.0,0.0,0.0,10.4,25.46,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
410,19,3,2,12,2,0.0,1.0,1.0,1.0,0.0,0.0,10.4,25.43,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
420,17,3,2,10,2,0.0,1.0,10.66,1.0,0.0,0.0,10.4,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
430,19,3,2,12,2,1.0,1.0,10.62,1.0,0.0,0.0,10.4,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
440,20,3,3,12,2,1.0,5.78,10.61,1.0,0.0,0.0,10.4,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
450,20,2,4,12,2,1.0,5.73,10.6,1.0,0.0,0.0,10.4,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
460,23,2,4,14,3,1.0,5.71,20.24,1.0,0.0,0.0,17.94,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
470,23,2,4,14,3,1.0,5.71,20.22,1.0,0.0,0.0,17.92,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
480,27,2,6,16,3,1.0,5.7,20.21,1.0,0.0,0.0,22.66,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
490,28,3,6,17,2,5.79,5.7,20.2,1.0,0.0,0.0,22.63,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
500,30,3,6,19,2,5.73,5.7,24.96,1.0,0.0,0.0,27.37,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
510,32,3,5,21,3,5.72,5.7,24.92,1.0,0.0,0.0,27.33,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
520,33,3,5,22,3,5.71,10.44,32.47,1.0,0.0,0.0,27.32,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
530,36,4,6,23,3,5.71,10.42,32.43,8.54,0.0,0.0,27.31,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
540,36,4,6,24,2,10.5,10.41,32.42,8.52,0.0,0.0,27.31,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
550,36,3,6,25,2,10.44,17.96,32.41,8.51,0.0,0.0,27.31,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
560,37,3,5,27,2,10.42,17.93,32.41,8.5,0.0,0.0,27.31,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
570,38,3,5,28,2,15.15,25.47,32.41,8.5,0.0,0.0,27.31,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
580,39,3,5,29,2,15.12,25.43,32.41,8.5,0.0,0.0,27.31,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
